fips,unemp,extra_column
12071,4.6,14
12073,4.6,78
12075,5.2,54
12077,5.3,57
12079,5.3,73
12081,4.6,28
12083,5.8,14
12085,4.9,33
12086,5.4,23
12087,3.2,13
12089,4.6,47
12091,4.0,13
12093,5.4,81
12095,4.4,50
12097,5.0,91
12099,4.8,61
12101,5.2,28
12103,4.4,55
12105,5.6,90
12107,6.3,62
12109,3.7,90
12111,5.7,98
12113,4.5,85
12115,4.6,42
12117,4.3,72
12119,7.0,45
12121,4.9,88
12123,5.5,96
12125,4.4,69
12127,5.1,2
12129,4.1,77
12131,4.3,13
12133,5.2,79
13001,6.4,71
13003,5.2,49
13005,5.3,8
13007,7.7,72
13009,6.8,100
13011,4.9,23
13013,4.7,87
13015,5.1,56
13017,8.1,50
13019,6.2,81
13021,6.0,41
13023,7.2,80
13025,6.7,70
13027,5.2,68
13029,4.9,34
13031,5.7,13
13033,7.6,87
13035,5.6,72
13037,5.8,80
13039,5.7,60
13043,4.9,25
13045,6.0,26
13047,4.8,28
13049,5.8,93
13051,5.2,18
13053,8.4,62
13055,6.2,40
13057,4.2,41
13059,5.6,98
13061,10.5,34
13063,6.6,35
13065,6.2,79
13067,4.6,9
13069,5.9,96
13071,5.3,82
13073,4.7,59
13075,5.4,20
13077,5.0,33
13079,5.9,65
13081,6.1,65
13083,5.1,82
13085,4.7,5
13087,6.7,44
13089,5.4,91
13091,7.4,7
13093,5.8,27
13095,6.9,60
13097,5.5,30
13099,7.0,61
13101,4.3,29
13103,4.9,77
13105,6.5,22
13107,7.8,66
13109,5.0,51
13111,5.3,51
13113,4.7,24
13115,6.0,10
13117,4.2,10
13119,5.3,88
13121,5.4,79
13123,5.6,58
13125,6.1,27
13127,5.3,88
13129,5.7,76
13131,5.5,47
13133,5.8,29
13135,4.7,81
13137,5.3,18
13139,4.5,5
13141,8.4,20
13143,5.8,55
13145,5.0,5
13147,5.5,17
13149,5.9,53
13151,5.5,41
13153,5.4,43
13155,7.7,83
13157,4.2,13
13159,4.8,19
13161,6.3,13
13163,7.5,80
13165,7.6,45
13167,6.2,31
13169,4.9,99
13171,6.5,71
13173,5.7,20
13175,6.7,35
13177,4.8,57
13179,5.8,73
13181,5.9,44
13183,5.5,26
13185,5.2,68
